CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
1,56,F,0,Post-Graduate,Married,$60K - $80K,Blue,29,1,2,0,5215.377955776234,1500,12316.684081979969,2.386442479264373,12818,17,3.3966778612786093,0.07268289509689674,Existing Customer
2,69,M,1,Post-Graduate,Divorced,$80K - $120K,Blue,14,1,0,1,30850.435692242914,2091,1473.3716491705661,3.760390450088107,11277,56,2.5335433494011923,0.7707361530180271,Existing Customer
3,46,F,0,College,Single,$80K - $120K,Silver,29,1,0,4,17577.31670101473,349,22157.377492857675,3.2370041338222006,10198,55,0.3149654975360119,0.3338387608751059,Existing Customer
4,32,F,2,College,Married,$60K - $80K,Blue,21,2,0,3,31611.931113950817,1958,29765.184829876907,2.2904140269157245,9284,139,2.7643721950852784,0.9528468868859343,Attrited Customer
5,60,F,4,Uneducated,Married,$40K - $60K,Blue,19,3,5,6,32708.110007037758,2070,29349.031139820934,1.444469150606778,3536,113,1.891824139595737,0.6220959693953849,Attrited Customer
6,25,F,5,High School,Married,$40K - $60K,Blue,25,6,0,0,28921.125054971024,660,9336.252533467195,3.3412809049778653,3150,127,0.23701938445075044,0.67492457524742,Existing Customer
7,38,F,5,Graduate,Single,$80K - $120K,Blue,22,6,6,2,14836.770712851097,2406,28834.305089651774,1.9531514759773945,18119,59,3.6562039331085927,0.583896109386369,Attrited Customer
8,56,F,3,Post-Graduate,Married,$60K - $80K,Blue,34,2,3,1,15023.851398380266,1612,12229.684476760813,3.500461315196255,7899,40,0.9334782137050239,0.4521320006643005,Existing Customer
9,36,M,1,High School,Divorced,$80K - $120K,Blue,40,4,2,5,33858.55588904489,734,11617.29635352331,2.4021968531880944,10854,58,3.8100072820555844,0.3392334376715114,Existing Customer
10,40,M,1,High School,Married,Less than $40K,Blue,54,1,5,0,12449.629435158438,396,24949.50021039578,2.828609788728884,13135,94,2.008840523329012,0.15886439756353077,Attrited Customer
11,28,F,1,High School,Single,$40K - $60K,Blue,26,3,5,4,14979.549445541807,314,23753.866666485494,0.18700532414614468,10721,50,2.5788943930099095,0.6178467130784249,Existing Customer
12,28,F,5,Post-Graduate,Married,$40K - $60K,Blue,31,4,6,2,10888.91496723388,727,14246.843554880357,3.961475063326214,17919,21,1.0531090113404744,0.9958899215583843,Attrited Customer
13,41,M,1,Graduate,Divorced,$80K - $120K,Blue,13,5,3,4,18466.594023142115,2136,13422.719254839605,3.0183029889323625,6731,127,3.9445958846096763,0.41078632692354633,Existing Customer
14,70,M,4,Graduate,Single,$80K - $120K,Blue,39,6,6,0,21754.631984639156,686,29053.43530945694,2.3279837506188823,2642,113,0.18744696520761828,0.24589104673067574,Attrited Customer
15,53,M,0,High School,Married,$40K - $60K,Blue,16,3,3,0,23543.517322822474,2297,12255.484808535653,2.128779123061744,1555,76,3.4482180915655474,0.7979120339183104,Existing Customer
16,57,F,5,Post-Graduate,Divorced,$60K - $80K,Blue,36,2,6,0,6388.5509833630485,1862,25851.62011665335,2.3978779630549365,10724,34,0.2676800339201759,0.9350689599495814,Attrited Customer
17,41,F,4,Graduate,Married,Less than $40K,Blue,26,1,1,0,12783.96226363827,69,22393.383124768454,0.18365219226819995,13150,134,3.628722050506628,0.9857295950918605,Attrited Customer
18,20,F,2,Graduate,Single,$40K - $60K,Blue,49,3,2,4,34862.912754760466,170,3207.744840940562,1.4584578943116457,15158,33,3.634806265879608,0.8548286585674489,Existing Customer
19,39,F,4,Post-Graduate,Single,$40K - $60K,Blue,35,4,2,3,3433.5972523372952,2470,4769.426295468274,0.3578190591958248,2270,49,1.4714682263024308,0.5091345744061916,Existing Customer
20,70,M,4,Uneducated,Single,$60K - $80K,Blue,17,2,5,0,13655.511634887325,926,1124.5361229058592,0.7016587950273387,3874,40,2.3998080381783877,0.853105907333226,Attrited Customer
21,19,M,2,Graduate,Divorced,$80K - $120K,Blue,32,4,2,6,8201.645086182049,840,1055.0162721071754,1.3320298267686388,14612,12,3.416311565078226,0.07367399021677801,Existing Customer
22,41,M,4,Uneducated,Divorced,$40K - $60K,Blue,34,4,2,2,10576.807186449934,1492,18133.550253427704,2.6906107165158804,10207,19,1.266696546193784,0.808528544531154,Existing Customer
23,61,M,0,Graduate,Divorced,$40K - $60K,Blue,52,6,0,4,16885.932056345962,518,2310.11782947407,3.7225333323076253,6692,101,0.5185889124404488,0.09478827767618658,Existing Customer
24,47,F,5,Post-Graduate,Married,$60K - $80K,Blue,56,1,6,1,34543.55997774085,1536,4085.7995861075947,3.9483579718807498,18599,73,3.6644925360802674,0.6084362913020572,Attrited Customer
25,55,F,3,Graduate,Married,$40K - $60K,Blue,47,3,4,1,28621.172601536284,646,7330.258400840933,3.004395397649309,3315,135,0.29716066383915685,0.3349421656587255,Attrited Customer
26,19,M,2,High School,Single,$120K +,Blue,48,4,1,4,9183.8020146632,2520,16599.645378120476,1.0751074988260543,18644,31,0.5270518099702746,0.5605420214992634,Existing Customer
27,38,M,5,Post-Graduate,Single,$80K - $120K,Silver,17,2,1,4,5673.10118423267,1583,6868.346521347623,1.2894443183131274,14501,61,0.7092292525529791,0.30547384679741296,Existing Customer
28,50,M,1,Post-Graduate,Single,$40K - $60K,Blue,45,4,0,0,21610.723520813517,822,11877.277960754005,1.2282820706769044,12837,130,2.4721837577406873,0.057075064197979364,Existing Customer
29,29,M,0,High School,Married,$40K - $60K,Blue,36,4,6,6,30795.086106039318,716,10600.153901816397,3.3541670894674045,6445,61,1.2744778288980605,0.7932522990273361,Attrited Customer
30,39,M,3,High School,Single,Less than $40K,Blue,46,2,3,4,7808.931365691653,1339,11889.065738386777,3.0981282425066765,11472,60,2.229859064034319,0.12150936256263045,Existing Customer
31,61,F,0,Post-Graduate,Divorced,$40K - $60K,Blue,49,5,4,2,7635.926580964732,121,27870.818846109556,0.25232510126353214,3773,85,3.117799120764513,0.616847511751847,Attrited Customer
